CCAA,Fecha,OCUPADAS_COVID19
ASTURIAS,2020-08-31,37
ASTURIAS,2020-09-01,42
ASTURIAS,2020-09-02,50
ASTURIAS,2020-09-03,47
ASTURIAS,2020-09-04,40
ASTURIAS,2020-09-05,42
ASTURIAS,2020-09-06,51
ASTURIAS,2020-09-07,48
ASTURIAS,2020-09-08,55
ASTURIAS,2020-09-09,55
ASTURIAS,2020-09-10,64
ASTURIAS,2020-09-11,57
ASTURIAS,2020-09-12,57
ASTURIAS,2020-09-13,58
ASTURIAS,2020-09-14,59
ASTURIAS,2020-09-15,53
ASTURIAS,2020-09-16,53
ASTURIAS,2020-09-17,50
ASTURIAS,2020-09-18,46
ASTURIAS,2020-09-19,49
ASTURIAS,2020-09-20,53
ASTURIAS,2020-09-21,59
ASTURIAS,2020-09-22,62
ASTURIAS,2020-09-23,61
ASTURIAS,2020-09-24,67
ASTURIAS,2020-09-25,41
ASTURIAS,2020-09-26,41
ASTURIAS,2020-09-27,71
ASTURIAS,2020-09-28,75
ASTURIAS,2020-09-29,72
ASTURIAS,2020-09-30,66
ASTURIAS,2020-10-01,75
ASTURIAS,2020-10-02,87
ASTURIAS,2020-10-03,87
ASTURIAS,2020-10-04,106
ASTURIAS,2020-10-05,106
ASTURIAS,2020-10-06,116
ASTURIAS,2020-10-07,127
ASTURIAS,2020-10-08,136
ASTURIAS,2020-10-09,136
ASTURIAS,2020-10-10,141
ASTURIAS,2020-10-11,145
ASTURIAS,2020-10-12,184
ASTURIAS,2020-10-13,204
ASTURIAS,2020-10-14,220
ASTURIAS,2020-10-15,243
ASTURIAS,2020-10-16,241
ASTURIAS,2020-10-17,244
ASTURIAS,2020-10-18,284
ASTURIAS,2020-10-19,315
ASTURIAS,2020-10-20,323
ASTURIAS,2020-10-21,332
ASTURIAS,2020-10-22,354
ASTURIAS,2020-10-23,385
ASTURIAS,2020-10-24,384
ASTURIAS,2020-10-25,476
ASTURIAS,2020-10-26,479
ASTURIAS,2020-10-27,505
ASTURIAS,2020-10-28,528
ASTURIAS,2020-10-29,573
ASTURIAS,2020-10-30,596
ASTURIAS,2020-10-31,594
ASTURIAS,2020-11-01,595
ASTURIAS,2020-11-02,748
ASTURIAS,2020-11-03,798
ASTURIAS,2020-11-04,776
ASTURIAS,2020-11-05,791
ASTURIAS,2020-11-06,806
ASTURIAS,2020-11-07,810
ASTURIAS,2020-11-08,912
ASTURIAS,2020-11-09,924
ASTURIAS,2020-11-10,934
ASTURIAS,2020-11-11,958
ASTURIAS,2020-11-12,974
ASTURIAS,2020-11-13,955
ASTURIAS,2020-11-14,962
ASTURIAS,2020-11-15,1039
ASTURIAS,2020-11-16,1037
ASTURIAS,2020-11-17,1027
ASTURIAS,2020-11-18,1018
ASTURIAS,2020-11-19,983
ASTURIAS,2020-11-20,941
ASTURIAS,2020-11-21,931
ASTURIAS,2020-11-22,1005
ASTURIAS,2020-11-23,991
ASTURIAS,2020-11-24,944
ASTURIAS,2020-11-25,878
ASTURIAS,2020-11-26,849
ASTURIAS,2020-11-27,804
ASTURIAS,2020-11-28,812
ASTURIAS,2020-11-29,856
ASTURIAS,2020-11-30,838
ASTURIAS,2020-12-01,829
ASTURIAS,2020-12-02,767
ASTURIAS,2020-12-03,770
ASTURIAS,2020-12-04,702
ASTURIAS,2020-12-05,708
ASTURIAS,2020-12-06,710
ASTURIAS,2020-12-07,706
ASTURIAS,2020-12-08,718
ASTURIAS,2020-12-09,691
ASTURIAS,2020-12-10,665
ASTURIAS,2020-12-11,591
ASTURIAS,2020-12-12,593
ASTURIAS,2020-12-13,592
ASTURIAS,2020-12-14,579
ASTURIAS,2020-12-15,496
ASTURIAS,2020-12-16,494
ASTURIAS,2020-12-17,451
ASTURIAS,2020-12-18,406
ASTURIAS,2020-12-19,412
ASTURIAS,2020-12-20,405
ASTURIAS,2020-12-21,385
