Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;Huesca;65-69;12.448
Ambos sexos;Huesca;70-74;10.954
Ambos sexos;Huesca;75-79;8.942
Ambos sexos;Huesca;80-84;7.010
Ambos sexos;Huesca;85-89;6.551
Ambos sexos;Huesca;90-94;3.337
Ambos sexos;Huesca;95-99;904
Ambos sexos;Huesca;100 y más;136
Ambos sexos;Teruel;Total;134.498
Ambos sexos;Teruel;0-4;5.018
Ambos sexos;Teruel;5-9;5.949
Ambos sexos;Teruel;10-14;6.332
Ambos sexos;Teruel;15-19;6.119
Ambos sexos;Teruel;20-24;6.530
Ambos sexos;Teruel;25-29;6.817
Ambos sexos;Teruel;30-34;7.513
Ambos sexos;Teruel;35-39;8.206
Ambos sexos;Teruel;40-44;9.614
Ambos sexos;Teruel;45-49;9.852
Ambos sexos;Teruel;50-54;10.222
Ambos sexos;Teruel;55-59;10.609
Ambos sexos;Teruel;60-64;9.655
Ambos sexos;Teruel;65-69;7.533
Ambos sexos;Teruel;70-74;6.530
Ambos sexos;Teruel;75-79;5.502
Ambos sexos;Teruel;80-84;4.702
Ambos sexos;Teruel;85-89;4.740
Ambos sexos;Teruel;90-94;2.379
Ambos sexos;Teruel;95-99;586
Ambos sexos;Teruel;100 y más;90
Ambos sexos;Zaragoza;Total;966.957
Ambos sexos;Zaragoza;0-4;37.894
Ambos sexos;Zaragoza;5-9;45.919
Ambos sexos;Zaragoza;10-14;49.916
Ambos sexos;Zaragoza;15-19;47.748
Ambos sexos;Zaragoza;20-24;46.536
Ambos sexos;Zaragoza;25-29;48.579
Ambos sexos;Zaragoza;30-34;53.422
Ambos sexos;Zaragoza;35-39;62.698
Ambos sexos;Zaragoza;40-44;78.356
Ambos sexos;Zaragoza;45-49;80.535
Ambos sexos;Zaragoza;50-54;75.197
Ambos sexos;Zaragoza;55-59;69.962
Ambos sexos;Zaragoza;60-64;62.958
Ambos sexos;Zaragoza;65-69;52.606
Ambos sexos;Zaragoza;70-74;47.800
Ambos sexos;Zaragoza;75-79;39.638
Ambos sexos;Zaragoza;80-84;28.571
Ambos sexos;Zaragoza;85-89;24.055
Ambos sexos;Zaragoza;90-94;11.159
Ambos sexos;Zaragoza;95-99;2.996
Ambos sexos;Zaragoza;100 y más;412
Ambos sexos;ASTURIAS, PRINCIPADO DE;Total;1.011.560
Ambos sexos;ASTURIAS, PRINCIPADO DE;0-4;28.577
Ambos sexos;ASTURIAS, PRINCIPADO DE;5-9;36.541
Ambos sexos;ASTURIAS, PRINCIPADO DE;10-14;41.696
Ambos sexos;ASTURIAS, PRINCIPADO DE;15-19;39.769
Ambos sexos;ASTURIAS, PRINCIPADO DE;20-24;38.664
Ambos sexos;ASTURIAS, PRINCIPADO DE;25-29;39.873
Ambos sexos;ASTURIAS, PRINCIPADO DE;30-34;46.881
Ambos sexos;ASTURIAS, PRINCIPADO DE;35-39;61.738
Ambos sexos;ASTURIAS, PRINCIPADO DE;40-44;80.982
Ambos sexos;ASTURIAS, PRINCIPADO DE;45-49;85.004
Ambos sexos;ASTURIAS, PRINCIPADO DE;50-54;80.534
Ambos sexos;ASTURIAS, PRINCIPADO DE;55-59;81.266
Ambos sexos;ASTURIAS, PRINCIPADO DE;60-64;81.212
Ambos sexos;ASTURIAS, PRINCIPADO DE;65-69;70.717
Ambos sexos;ASTURIAS, PRINCIPADO DE;70-74;63.556
Ambos sexos;ASTURIAS, PRINCIPADO DE;75-79;48.257
Ambos sexos;ASTURIAS, PRINCIPADO DE;80-84;35.168
Ambos sexos;ASTURIAS, PRINCIPADO DE;85-89;31.572
Ambos sexos;ASTURIAS, PRINCIPADO DE;90-94;14.973
Ambos sexos;ASTURIAS, PRINCIPADO DE;95-99;3.958
Ambos sexos;ASTURIAS, PRINCIPADO DE;100 y más;622
Ambos sexos;BALEARS, ILLES;Total;1.172.333
Ambos sexos;BALEARS, ILLES;0-4;50.515
Ambos sexos;BALEARS, ILLES;5-9;57.927
Ambos sexos;BALEARS, ILLES;10-14;62.532
Ambos sexos;BALEARS, ILLES;15-19;59.187
Ambos sexos;BALEARS, ILLES;20-24;61.707
Ambos sexos;BALEARS, ILLES;25-29;73.573
Ambos sexos;BALEARS, ILLES;30-34;83.577
Ambos sexos;BALEARS, ILLES;35-39;93.489
Ambos sexos;BALEARS, ILLES;40-44;104.692
Ambos sexos;BALEARS, ILLES;45-49;102.277
Ambos sexos;BALEARS, ILLES;50-54;90.209
Ambos sexos;BALEARS, ILLES;55-59;78.942
Ambos sexos;BALEARS, ILLES;60-64;66.442
Ambos sexos;BALEARS, ILLES;65-69;54.519
Ambos sexos;BALEARS, ILLES;70-74;46.675
Ambos sexos;BALEARS, ILLES;75-79;35.269
Ambos sexos;BALEARS, ILLES;80-84;23.952
Ambos sexos;BALEARS, ILLES;85-89;16.993
Ambos sexos;BALEARS, ILLES;90-94;7.582
Ambos sexos;BALEARS, ILLES;95-99;1.949
Ambos sexos;BALEARS, ILLES;100 y más;325
Ambos sexos;CANARIAS;Total;2.171.364
Ambos sexos;CANARIAS;0-4;73.502
Ambos sexos;CANARIAS;5-9;91.487
Ambos sexos;CANARIAS;10-14;107.448
Ambos sexos;CANARIAS;15-19;112.273
Ambos sexos;CANARIAS;20-24;117.802
Ambos sexos;CANARIAS;25-29;130.593
Ambos sexos;CANARIAS;30-34;142.732
Ambos sexos;CANARIAS;35-39;158.976
Ambos sexos;CANARIAS;40-44;184.996
Ambos sexos;CANARIAS;45-49;198.187
Ambos sexos;CANARIAS;50-54;187.863
Ambos sexos;CANARIAS;55-59;170.436
Ambos sexos;CANARIAS;60-64;133.985
Ambos sexos;CANARIAS;65-69;109.533
Ambos sexos;CANARIAS;70-74;88.853
Ambos sexos;CANARIAS;75-79;69.358
Ambos sexos;CANARIAS;80-84;45.539
Ambos sexos;CANARIAS;85-89;32.054
Ambos sexos;CANARIAS;90-94;12.176
Ambos sexos;CANARIAS;95-99;2.830
Ambos sexos;CANARIAS;100 y más;741
Ambos sexos;Palmas, Las;Total;1.127.501
Ambos sexos;Palmas, Las;0-4;38.084
Ambos sexos;Palmas, Las;5-9;47.646
Ambos sexos;Palmas, Las;10-14;56.602
Ambos sexos;Palmas, Las;15-19;60.273
Ambos sexos;Palmas, Las;20-24;62.441
Ambos sexos;Palmas, Las;25-29;68.532
Ambos sexos;Palmas, Las;30-34;75.040
Ambos sexos;Palmas, Las;35-39;82.722
Ambos sexos;Palmas, Las;40-44;96.066
Ambos sexos;Palmas, Las;45-49;104.397
Ambos sexos;Palmas, Las;50-54;99.621
Ambos sexos;Palmas, Las;55-59;89.503
Ambos sexos;Palmas, Las;60-64;68.550
Ambos sexos;Palmas, Las;65-69;55.966
Ambos sexos;Palmas, Las;70-74;44.524
Ambos sexos;Palmas, Las;75-79;33.523
Ambos sexos;Palmas, Las;80-84;21.716
Ambos sexos;Palmas, Las;85-89;14.996
Ambos sexos;Palmas, Las;90-94;5.668
Ambos sexos;Palmas, Las;95-99;1.330
Ambos sexos;Palmas, Las;100 y más;301
Ambos sexos;Santa Cruz de Tenerife;Total;1.043.863
Ambos sexos;Santa Cruz de Tenerife;0-4;35.418
Ambos sexos;Santa Cruz de Tenerife;5-9;43.841
Ambos sexos;Santa Cruz de Tenerife;10-14;50.846
Ambos sexos;Santa Cruz de Tenerife;15-19;52.000
Ambos sexos;Santa Cruz de Tenerife;20-24;55.361
Ambos sexos;Santa Cruz de Tenerife;25-29;62.061
Ambos sexos;Santa Cruz de Tenerife;30-34;67.692
Ambos sexos;Santa Cruz de Tenerife;35-39;76.254
Ambos sexos;Santa Cruz de Tenerife;40-44;88.930
Ambos sexos;Santa Cruz de Tenerife;45-49;93.790
Ambos sexos;Santa Cruz de Tenerife;50-54;88.242
Ambos sexos;Santa Cruz de Tenerife;55-59;80.933
Ambos sexos;Santa Cruz de Tenerife;60-64;65.435
Ambos sexos;Santa Cruz de Tenerife;65-69;53.567
Ambos sexos;Santa Cruz de Tenerife;70-74;44.329
Ambos sexos;Santa Cruz de Tenerife;75-79;35.835
Ambos sexos;Santa Cruz de Tenerife;80-84;23.823
Ambos sexos;Santa Cruz de Tenerife;85-89;17.058
Ambos sexos;Santa Cruz de Tenerife;90-94;6.508
Ambos sexos;Santa Cruz de Tenerife;95-99;1.500
Ambos sexos;Santa Cruz de Tenerife;100 y más;440
Ambos sexos;CANTABRIA;Total;584.308
Ambos sexos;CANTABRIA;0-4;19.704
Ambos sexos;CANTABRIA;5-9;25.328
Ambos sexos;CANTABRIA;10-14;29.070
Ambos sexos;CANTABRIA;15-19;27.552
Ambos sexos;CANTABRIA;20-24;25.236
Ambos sexos;CANTABRIA;25-29;25.589
Ambos sexos;CANTABRIA;30-34;29.485
Ambos sexos;CANTABRIA;35-39;38.285
Ambos sexos;CANTABRIA;40-44;49.153
Ambos sexos;CANTABRIA;45-49;48.842
Ambos sexos;CANTABRIA;50-54;46.621
Ambos sexos;CANTABRIA;55-59;44.374
Ambos sexos;CANTABRIA;60-64;43.060
Ambos sexos;CANTABRIA;65-69;36.214
Ambos sexos;CANTABRIA;70-74;31.579
Ambos sexos;CANTABRIA;75-79;23.211
Ambos sexos;CANTABRIA;80-84;17.033
Ambos sexos;CANTABRIA;85-89;14.690
Ambos sexos;CANTABRIA;90-94;7.119
Ambos sexos;CANTABRIA;95-99;1.875
Ambos sexos;CANTABRIA;100 y más;288
Ambos sexos;CASTILLA Y LEÓN;Total;2.381.281
Ambos sexos;CASTILLA Y LEÓN;0-4;75.564
Ambos sexos;CASTILLA Y LEÓN;5-9;94.863
Ambos sexos;CASTILLA Y LEÓN;10-14;105.051
Ambos sexos;CASTILLA Y LEÓN;15-19;103.363
Ambos sexos;CASTILLA Y LEÓN;20-24;104.138
Ambos sexos;CASTILLA Y LEÓN;25-29;106.197
Ambos sexos;CASTILLA Y LEÓN;30-34;116.892
Ambos sexos;CASTILLA Y LEÓN;35-39;141.742
Ambos sexos;CASTILLA Y LEÓN;40-44;176.249
Ambos sexos;CASTILLA Y LEÓN;45-49;184.065
Ambos sexos;CASTILLA Y LEÓN;50-54;188.798
Ambos sexos;CASTILLA Y LEÓN;55-59;191.640
Ambos sexos;CASTILLA Y LEÓN;60-64;179.311
Ambos sexos;CASTILLA Y LEÓN;65-69;147.674
Ambos sexos;CASTILLA Y LEÓN;70-74;132.639
Ambos sexos;CASTILLA Y LEÓN;75-79;113.855
Ambos sexos;CASTILLA Y LEÓN;80-84;88.703
Ambos sexos;CASTILLA Y LEÓN;85-89;77.722
Ambos sexos;CASTILLA Y LEÓN;90-94;39.754
Ambos sexos;CASTILLA Y LEÓN;95-99;11.394
Ambos sexos;CASTILLA Y LEÓN;100 y más;1.667
Ambos sexos;Ávila;Total;157.918
Ambos sexos;Ávila;0-4;4.900
Ambos sexos;Ávila;5-9;6.385
Ambos sexos;Ávila;10-14;7.180
Ambos sexos;Ávila;15-19;6.910
Ambos sexos;Ávila;20-24;7.128
Ambos sexos;Ávila;25-29;7.216
Ambos sexos;Ávila;30-34;7.799
Ambos sexos;Ávila;35-39;8.996
Ambos sexos;Ávila;40-44;11.136
Ambos sexos;Ávila;45-49;11.843
Ambos sexos;Ávila;50-54;12.371
Ambos sexos;Ávila;55-59;12.924
Ambos sexos;Ávila;60-64;11.944
Ambos sexos;Ávila;65-69;9.601
Ambos sexos;Ávila;70-74;8.683
Ambos sexos;Ávila;75-79;7.496
Ambos sexos;Ávila;80-84;6.180
Ambos sexos;Ávila;85-89;5.454
Ambos sexos;Ávila;90-94;2.859
Ambos sexos;Ávila;95-99;797
Ambos sexos;Ávila;100 y más;116
Ambos sexos;Burgos;Total;355.943
Ambos sexos;Burgos;0-4;12.302
Ambos sexos;Burgos;5-9;15.527
Ambos sexos;Burgos;10-14;16.871
Ambos sexos;Burgos;15-19;16.026
Ambos sexos;Burgos;20-24;16.092
Ambos sexos;Burgos;25-29;15.975
Ambos sexos;Burgos;30-34;18.152
Ambos sexos;Burgos;35-39;21.386
Ambos sexos;Burgos;40-44;26.962
Ambos sexos;Burgos;45-49;28.207
Ambos sexos;Burgos;50-54;28.030
Ambos sexos;Burgos;55-59;28.027
Ambos sexos;Burgos;60-64;26.327
Ambos sexos;Burgos;65-69;21.738
Ambos sexos;Burgos;70-74;19.083
Ambos sexos;Burgos;75-79;15.738
Ambos sexos;Burgos;80-84;11.764
Ambos sexos;Burgos;85-89;10.248
Ambos sexos;Burgos;90-94;5.659
Ambos sexos;Burgos;95-99;1.622
Ambos sexos;Burgos;100 y más;207
Ambos sexos;León;Total;451.436
Ambos sexos;León;0-4;12.711
Ambos sexos;León;5-9;15.973
Ambos sexos;León;10-14;17.838
Ambos sexos;León;15-19;18.006
Ambos sexos;León;20-24;18.231
Ambos sexos;León;25-29;18.859
Ambos sexos;León;30-34;21.560
